Week Ending Date,Report Date,Date,Weighted Price,Weighted Price adjusted to 38% moisture,Sales,Moisture Content
2/13/2016,2/18/2016,16-Jan,1.6201,1.5432,"11,285,012",34.91
2/6/2016,2/10/2016,9-Jan,1.5873,1.516,"11,141,233",35.08
2/6/2016,2/10/2016,16-Jan,1.6201,1.5432,"11,285,012",34.91
2/6/2016,2/10/2016,23-Jan,1.6387,1.5626,"10,403,831",34.98
2/6/2016,2/10/2016,30-Jan,1.618,1.542,"10,360,803",34.94
2/6/2016,2/10/2016,6-Feb,1.5799,1.5102,"9,478,002",35.14
1/30/2016,2/3/2016,30-Jan,1.618,1.542,"10,360,803",34.94
1/30/2016,2/3/2016,23-Jan,1.6387,1.5626,"10,403,831",34.98
1/30/2016,2/3/2016,16-Jan,1.6201,1.5432,"11,285,012",34.91
1/30/2016,2/3/2016,9-Jan,1.5873,1.516,"11,141,233",35.08
1/30/2016,2/3/2016,2-Jan,1.5586,1.4856,"9,167,653",34.95
1/23/2016,1/27/2016,26-Dec,1.5744,1.4973,"8,629,095",34.81
1/23/2016,1/27/2016,2-Jan,1.5586,1.4856,"9,167,653",34.95
1/23/2016,1/27/2016,9-Jan,1.5873,1.516,"11,141,233",35.08
1/23/2016,1/27/2016,16-Jan,1.6201,1.5432,"11,285,012",34.91
1/23/2016,1/27/2016,23-Jan,1.6387,1.5626,"10,403,831",34.98
1/16/2016,1/21/2016,16-Jan,1.6201,1.5432,"11,285,012",34.91
1/16/2016,1/21/2016,9-Jan,1.5873,1.516,"11,141,233",35.08
1/16/2016,1/21/2016,2-Jan,1.5586,1.4856,"9,167,653",34.95
1/16/2016,1/21/2016,26-Dec,1.5744,1.4973,"8,629,095",34.81
1/16/2016,1/21/2016,19-Dec,1.6124,1.5362,"10,400,022",34.93
1/9/2016,1/13/2016,12-Dec,1.6235,1.5525,"10,316,439",35.16
1/9/2016,1/13/2016,19-Dec,1.6124,1.5362,"10,400,022",34.93
1/9/2016,1/13/2016,26-Dec,1.5744,1.4973,"8,629,095",34.81
1/9/2016,1/13/2016,2-Jan,1.5586,1.4857,"8,839,183",34.96
1/9/2016,1/13/2016,9-Jan,1.5873,1.516,"11,141,233",35.08
1/2/2016,1/6/2016,2-Jan,1.5569,1.4845,"8,636,161",34.97
1/2/2016,1/6/2016,26-Dec,1.5754,1.4981,"8,669,656",34.8
1/2/2016,1/6/2016,19-Dec,1.6124,1.5362,"10,400,022",34.93
1/2/2016,1/6/2016,12-Dec,1.6235,1.5525,"10,316,439",35.16
1/2/2016,1/6/2016,5-Dec,1.6349,1.5585,"9,709,622",34.96
12/26/2015,12/30/2015,28-Nov,1.6321,1.5567,"8,199,380",35
12/26/2015,12/30/2015,5-Dec,1.6349,1.5585,"9,709,622",34.96
12/26/2015,12/30/2015,12-Dec,1.6235,1.5525,"10,316,439",35.16
12/26/2015,12/30/2015,19-Dec,1.6124,1.5362,"10,400,022",34.93
12/26/2015,12/30/2015,26-Dec,1.5759,1.4983,"8,590,783",34.79
12/19/2015,12/23/2015,19-Dec,1.6124,1.5362,"10,400,022",34.93
12/19/2015,12/23/2015,12-Dec,1.6235,1.5525,"10,316,439",35.16
12/19/2015,12/23/2015,5-Dec,1.6349,1.5585,"9,709,622",34.96
12/19/2015,12/23/2015,28-Nov,1.6321,1.5567,"8,199,380",35
12/19/2015,12/23/2015,21-Nov,1.6943,1.6154,"9,903,311",34.97
12/12/2015,12/16/2015,14-Nov,1.7261,1.6437,"9,769,834",34.89
12/12/2015,12/16/2015,21-Nov,1.6943,1.6154,"9,903,311",34.97
12/12/2015,12/16/2015,28-Nov,1.6321,1.5567,"8,199,380",35
12/12/2015,12/16/2015,5-Dec,1.6349,1.5585,"9,709,622",34.96
12/12/2015,12/16/2015,12-Dec,1.6176,1.5466,"10,421,359",35.15
12/5/2015,12/9/2015,5-Dec,1.6349,1.5585,"9,709,622",34.96
12/5/2015,12/9/2015,28-Nov,1.6328,1.5572,"8,159,307",34.99
12/5/2015,12/9/2015,21-Nov,1.6943,1.6154,"9,903,311",34.97
12/5/2015,12/9/2015,14-Nov,1.7261,1.6437,"9,769,834",34.89
12/5/2015,12/9/2015,7-Nov,1.7078,1.6323,"9,159,344",35.13
11/28/2015,12/2/2015,31-Oct,1.7406,1.66,"10,186,186",34.99
11/28/2015,12/2/2015,7-Nov,1.686,1.6115,"9,159,344",35.13
11/28/2015,12/2/2015,14-Nov,1.7261,1.6437,"9,769,834",34.89
11/28/2015,12/2/2015,21-Nov,1.6943,1.6154,"9,903,311",34.97
11/28/2015,12/2/2015,28-Nov,1.6332,1.5577,"8,077,043",34.99
11/21/2015,11/25/2015,21-Nov,1.6943,1.6154,"9,903,311",34.97
11/21/2015,11/25/2015,14-Nov,1.7261,1.6437,"9,769,834",34.89
11/21/2015,11/25/2015,7-Nov,1.686,1.6115,"9,159,344",35.13
11/21/2015,11/25/2015,31-Oct,1.7406,1.66,"10,186,186",34.99
11/21/2015,11/25/2015,24-Oct,1.7637,1.6817,"8,974,990",34.98
11/14/2015,11/18/2015,17-Oct,1.7232,1.6477,"9,081,807",35.16
11/14/2015,11/18/2015,24-Oct,1.7637,1.6817,"8,974,990",34.98
11/14/2015,11/18/2015,31-Oct,1.7406,1.66,"10,186,186",34.99
11/14/2015,11/18/2015,7-Nov,1.6858,1.6113,"9,159,856",35.13
11/14/2015,11/18/2015,14-Nov,1.7261,1.6435,"9,730,209",34.88
11/7/2015,11/12/2015,7-Nov,1.7077,1.6323,"9,117,766",35.14
11/7/2015,11/12/2015,31-Oct,1.7406,1.66,"10,186,186",34.99
11/7/2015,11/12/2015,24-Oct,1.7636,1.6816,"8,981,091",34.98
11/7/2015,11/12/2015,17-Oct,1.7232,1.6477,"9,081,807",35.16
11/7/2015,11/12/2015,10-Oct,1.6815,1.603,"10,172,769",34.97
10/31/2015,11/4/2015,3-Oct,1.6783,1.599,"9,249,459",34.93
10/31/2015,11/4/2015,10-Oct,1.6815,1.603,"10,172,769",34.97
10/31/2015,11/4/2015,17-Oct,1.7232,1.6477,"9,081,807",35.16
10/31/2015,11/4/2015,24-Oct,1.7638,1.6818,"8,980,091",34.98
10/31/2015,11/4/2015,31-Oct,1.7405,1.6601,"10,119,902",35
10/24/2015,10/28/2015,24-Oct,1.7649,1.6828,"8,980,091",34.98
10/24/2015,10/28/2015,17-Oct,1.7244,1.6487,"9,122,587",35.15
10/24/2015,10/28/2015,10-Oct,1.6802,1.6019,"10,131,989",34.97
10/24/2015,10/28/2015,3-Oct,1.6783,1.599,"9,249,459",34.93
10/24/2015,10/28/2015,26-Sep,1.7212,1.6426,"10,456,388",35.03
10/17/2015,10/21/2015,19-Sep,1.7718,1.6885,"9,407,352",34.94
10/17/2015,10/21/2015,26-Sep,1.7212,1.6426,"10,456,388",35.03
10/17/2015,10/21/2015,3-Oct,1.6783,1.599,"9,249,459",34.93
10/17/2015,10/21/2015,10-Oct,1.6802,1.6019,"10,131,989",34.97
10/17/2015,10/21/2015,17-Oct,1.7244,1.648,"9,122,587",35.12
10/10/2015,10/15/2015,10-Oct,1.6802,1.6019,"10,131,989",34.97
10/10/2015,10/15/2015,3-Oct,1.6783,1.599,"9,249,459",34.93
10/10/2015,10/15/2015,26-Sep,1.7212,1.6426,"10,456,388",35.03
10/10/2015,10/15/2015,19-Sep,1.7718,1.6885,"9,407,352",34.94
10/10/2015,10/15/2015,12-Sep,1.7717,1.6879,"11,884,187",34.92
10/3/2015,10/7/2015,5-Sep,1.7676,1.6861,"12,430,387",35
10/3/2015,10/7/2015,12-Sep,1.7717,1.6879,"11,884,187",34.92
10/3/2015,10/7/2015,19-Sep,1.7718,1.6885,"9,407,352",34.94
10/3/2015,10/7/2015,26-Sep,1.7217,1.6429,"10,416,791",35.03
10/3/2015,10/7/2015,3-Oct,1.6778,1.599,"9,085,703",34.94
9/26/2015,9/30/2015,26-Sep,1.7217,1.6429,"10,416,791",35.03
9/26/2015,9/30/2015,19-Sep,1.7718,1.6885,"9,407,352",34.94
9/26/2015,9/30/2015,12-Sep,1.7717,1.6879,"11,884,187",34.92
9/26/2015,9/30/2015,5-Sep,1.7676,1.6861,"12,430,387",35
9/26/2015,9/30/2015,29-Aug,1.8226,1.7353,"9,304,509",34.88
9/19/2015,9/23/2015,22-Aug,1.8362,1.7471,"9,738,968",34.84
9/19/2015,9/23/2015,29-Aug,1.8226,1.7355,"9,302,421",34.89
9/19/2015,9/23/2015,5-Sep,1.7676,1.6864,"12,430,387",35.02
9/19/2015,9/23/2015,12-Sep,1.7718,1.6879,"11,884,187",34.92
9/19/2015,9/23/2015,19-Sep,1.7718,1.6886,"9,407,352",34.94
9/12/2015,9/16/2015,12-Sep,1.7718,1.6879,"11,884,187",34.92
9/12/2015,9/16/2015,5-Sep,1.7677,1.6865,"12,430,387",35.02
9/12/2015,9/16/2015,29-Aug,1.8226,1.7355,"9,302,421",34.89
9/12/2015,9/16/2015,22-Aug,1.8362,1.7471,"9,738,968",34.84
9/12/2015,9/16/2015,15-Aug,1.8305,1.7375,"10,554,449",34.68
9/5/2015,9/10/2015,8-Aug,1.7954,1.7113,"10,123,940",34.95
9/5/2015,9/10/2015,15-Aug,1.8305,1.7375,"10,554,449",34.68
9/5/2015,9/10/2015,22-Aug,1.8362,1.7471,"9,738,968",34.84
9/5/2015,9/10/2015,29-Aug,1.8226,1.7355,"9,302,421",34.89
9/5/2015,9/10/2015,5-Sep,1.7676,1.6864,"12,430,387",35.02
8/29/2015,9/2/2015,29-Aug,1.8226,1.7355,"9,302,421",34.89
8/29/2015,9/2/2015,22-Aug,1.8362,1.7471,"9,738,968",34.84
8/29/2015,9/2/2015,15-Aug,1.8305,1.7375,"10,554,449",34.68
8/29/2015,9/2/2015,8-Aug,1.7954,1.7113,"10,123,940",34.95
8/29/2015,9/2/2015,1-Aug,1.7678,1.6874,"10,365,661",35.05
8/22/2015,8/26/2015,25-Jul,1.7361,1.6648,"10,609,190",35.34
8/22/2015,8/26/2015,1-Aug,1.7666,1.6865,"10,472,993",35.06
8/22/2015,8/26/2015,8-Aug,1.7954,1.7113,"10,123,940",34.95
8/22/2015,8/26/2015,15-Aug,1.8305,1.7375,"10,554,449",34.68
8/22/2015,8/26/2015,22-Aug,1.8362,1.7471,"9,738,968",34.84
8/15/2015,8/19/2015,15-Aug,1.8305,1.7375,"10,566,596",34.68
8/15/2015,8/19/2015,8-Aug,1.7954,1.7113,"10,123,940",34.95
8/15/2015,8/19/2015,1-Aug,1.7666,1.6865,"10,472,993",35.06
8/15/2015,8/19/2015,25-Jul,1.7361,1.6648,"10,609,190",35.34
8/15/2015,8/19/2015,18-Jul,1.7335,1.6563,"10,796,066",35.11
8/8/2015,8/12/2015,11-Jul,1.757,1.6709,"11,984,096",34.8
8/8/2015,8/12/2015,18-Jul,1.7335,1.6563,"10,796,066",35.11
8/8/2015,8/12/2015,25-Jul,1.7361,1.6648,"10,609,190",35.34
8/8/2015,8/12/2015,1-Aug,1.7666,1.6865,"10,472,993",35.06
8/8/2015,8/12/2015,8-Aug,1.7954,1.7112,"10,002,242",34.95
8/1/2015,8/5/2015,1-Aug,1.7666,1.6865,"10,472,993",35.06
8/1/2015,8/5/2015,25-Jul,1.7361,1.6648,"10,612,737",35.34
8/1/2015,8/5/2015,18-Jul,1.7335,1.6563,"10,796,066",35.11
8/1/2015,8/5/2015,11-Jul,1.757,1.6709,"11,984,096",34.8
8/1/2015,8/5/2015,4-Jul,1.7899,1.7058,"9,902,737",34.94
7/25/2015,7/29/2015,27-Jun,1.8143,1.7285,"10,382,580",34.92
7/25/2015,7/29/2015,4-Jul,1.7899,1.7058,"9,902,737",34.94
7/25/2015,7/29/2015,11-Jul,1.757,1.6709,"11,984,096",34.8
7/25/2015,7/29/2015,18-Jul,1.7325,1.6558,"10,836,636",35.13
7/25/2015,7/29/2015,25-Jul,1.7361,1.6648,"10,612,737",35.34
7/18/2015,7/22/2015,18-Jul,1.7326,1.6559,"10,836,636",35.13
7/18/2015,7/22/2015,11-Jul,1.7578,1.6716,"11,984,096",34.8
7/18/2015,7/22/2015,4-Jul,1.7899,1.7058,"9,902,737",34.94
7/18/2015,7/22/2015,27-Jun,1.8143,1.7285,"10,382,580",34.92
7/18/2015,7/22/2015,20-Jun,1.8133,1.7284,"9,268,038",34.96
7/11/2015,7/15/2015,13-Jun,1.7829,1.7047,"10,917,666",35.15
7/11/2015,7/15/2015,20-Jun,1.8133,1.7284,"9,268,038",34.96
7/11/2015,7/15/2015,27-Jun,1.8143,1.7285,"10,382,580",34.92
7/11/2015,7/15/2015,4-Jul,1.7899,1.7058,"9,902,737",34.94
7/11/2015,7/15/2015,11-Jul,1.7578,1.6716,"11,984,096",34.8
7/4/2015,7/8/2015,4-Jul,1.7899,1.7058,"9,902,737",34.94
7/4/2015,7/8/2015,27-Jun,1.8143,1.7285,"10,382,580",34.92
7/4/2015,7/8/2015,20-Jun,1.8133,1.7284,"9,268,038",34.96
7/4/2015,7/8/2015,13-Jun,1.7829,1.7047,"10,917,666",35.15
7/4/2015,7/8/2015,6-Jun,1.7509,1.6716,"9,603,219",35.06
6/27/2015,7/1/2015,30-May,1.7431,1.6662,"10,746,337",35.14
6/27/2015,7/1/2015,6-Jun,1.7509,1.6716,"9,603,219",35.06
6/27/2015,7/1/2015,13-Jun,1.7829,1.7047,"10,917,666",35.15
6/27/2015,7/1/2015,20-Jun,1.8133,1.7284,"9,268,038",34.96
6/27/2015,7/1/2015,27-Jun,1.8143,1.7285,"10,382,580",34.92
6/20/2015,6/24/2015,20-Jun,1.8133,1.7284,"9,268,038",34.96
6/20/2015,6/24/2015,13-Jun,1.7829,1.7047,"10,917,666",35.15
6/20/2015,6/24/2015,6-Jun,1.7509,1.6716,"9,603,219",35.06
6/20/2015,6/24/2015,30-May,1.7431,1.6662,"10,746,337",35.14
6/20/2015,6/24/2015,23-May,1.7436,1.6713,"9,023,123",35.32
6/13/2015,6/17/2015,16-May,1.7456,1.667,"9,847,401",35.08
6/13/2015,6/17/2015,23-May,1.7436,1.6713,"9,023,123",35.32
6/13/2015,6/17/2015,30-May,1.7431,1.6662,"10,746,337",35.14
6/13/2015,6/17/2015,6-Jun,1.7509,1.6716,"9,602,714",35.06
6/13/2015,6/17/2015,13-Jun,1.7821,1.704,"10,750,688",35.16
6/6/2015,6/10/2015,6-Jun,1.7509,1.6716,"9,602,714",35.06
6/6/2015,6/10/2015,30-May,1.7431,1.6662,"10,746,337",35.14
6/6/2015,6/10/2015,23-May,1.7436,1.6713,"9,023,123",35.32
6/6/2015,6/10/2015,16-May,1.7456,1.667,"9,847,401",35.08
6/6/2015,6/10/2015,9-May,1.7431,1.6655,"9,735,104",35.11
5/30/2015,6/3/2015,2-May,1.7427,1.666,"9,894,341",35.15
5/30/2015,6/3/2015,9-May,1.7431,1.6655,"9,735,104",35.11
5/30/2015,6/3/2015,16-May,1.7456,1.667,"9,847,401",35.08
5/30/2015,6/3/2015,23-May,1.7436,1.6713,"9,023,123",35.32
5/30/2015,6/3/2015,30-May,1.7431,1.6662,"10,746,337",35.14
5/23/2015,5/28/2015,23-May,1.7436,1.6713,"9,023,123",35.32
5/23/2015,5/28/2015,16-May,1.7456,1.667,"9,847,401",35.08
5/23/2015,5/28/2015,9-May,1.7431,1.6655,"9,735,104",35.11
5/23/2015,5/28/2015,2-May,1.7427,1.666,"9,894,341",35.15
5/23/2015,5/28/2015,25-Apr,1.7366,1.6575,"9,941,803",35.04
5/16/2015,5/20/2015,18-Apr,1.7223,1.6396,"10,250,823",34.87
5/16/2015,5/20/2015,25-Apr,1.7366,1.6575,"9,941,803",35.04
5/16/2015,5/20/2015,2-May,1.7427,1.666,"9,894,341",35.15
5/16/2015,5/20/2015,9-May,1.7431,1.6655,"9,735,104",35.11
5/16/2015,5/20/2015,16-May,1.7454,1.6669,"9,736,593",35.08
5/9/2015,5/13/2015,9-May,1.7431,1.6655,"9,730,502",35.11
5/9/2015,5/13/2015,2-May,1.7427,1.666,"9,894,341",35.15
5/9/2015,5/13/2015,25-Apr,1.7366,1.6575,"9,941,803",35.04
5/9/2015,5/13/2015,18-Apr,1.7223,1.6396,"10,250,823",34.87
5/9/2015,5/13/2015,11-Apr,1.6856,1.6132,"10,137,426",35.22
5/2/2015,5/6/2015,4-Apr,1.6407,1.5729,"9,550,948",35.33
5/2/2015,5/6/2015,11-Apr,1.6856,1.6132,"10,137,426",35.22
5/2/2015,5/6/2015,18-Apr,1.7223,1.6396,"10,250,823",34.87
5/2/2015,5/6/2015,25-Apr,1.7366,1.6575,"9,941,803",35.04
5/2/2015,5/6/2015,2-May,1.7421,1.6655,"9,853,589",35.15
4/25/2015,4/29/2015,25-Apr,1.7366,1.6575,"9,941,803",35.04
4/25/2015,4/29/2015,18-Apr,1.7223,1.6396,"10,250,823",34.87
4/25/2015,4/29/2015,11-Apr,1.6856,1.6132,"10,137,426",35.22
4/25/2015,4/29/2015,4-Apr,1.6407,1.5729,"9,550,948",35.33
4/25/2015,4/29/2015,28-Mar,1.6597,1.5823,"9,711,077",34.97
4/18/2015,4/22/2015,21-Mar,1.6408,1.5625,"11,098,151",34.89
4/18/2015,4/22/2015,28-Mar,1.6597,1.5823,"9,711,077",34.97
4/18/2015,4/22/2015,4-Apr,1.6407,1.5729,"9,550,948",35.33
4/18/2015,4/22/2015,11-Apr,1.6855,1.6131,"10,095,742",35.22
4/18/2015,4/22/2015,18-Apr,1.7223,1.6396,"10,250,823",34.87
4/11/2015,4/15/2015,11-Apr,1.6855,1.6131,"10,095,742",35.22
4/11/2015,4/15/2015,4-Apr,1.6407,1.5729,"9,550,948",35.33
4/11/2015,4/15/2015,28-Mar,1.6597,1.5823,"9,711,077",34.97
4/11/2015,4/15/2015,21-Mar,1.6408,1.5625,"11,098,151",34.89
4/11/2015,4/15/2015,14-Mar,1.6104,1.5345,"9,530,547",34.93
4/4/2015,4/8/2015,7-Mar,1.6052,1.5296,"10,397,994",34.93
4/4/2015,4/8/2015,14-Mar,1.6104,1.5345,"9,530,547",34.93
4/4/2015,4/8/2015,21-Mar,1.6408,1.5625,"11,098,151",34.89
4/4/2015,4/8/2015,28-Mar,1.6597,1.5823,"9,711,077",34.97
4/4/2015,4/8/2015,4-Apr,1.6407,1.5729,"9,557,021",35.33
3/28/2015,4/1/2015,28-Mar,1.659,1.5819,"9,420,860",34.98
3/28/2015,4/1/2015,21-Mar,1.6409,1.5625,"11,056,298",34.89
3/28/2015,4/1/2015,14-Mar,1.6104,1.5345,"9,572,400",34.93
3/28/2015,4/1/2015,7-Mar,1.6052,1.5296,"10,397,994",34.93
3/28/2015,4/1/2015,28-Feb,1.6016,1.5257,"9,890,187",34.92
3/21/2015,3/25/2015,21-Feb,1.6024,1.5282,"10,377,959",34.99
3/21/2015,3/25/2015,28-Feb,1.6016,1.5257,"9,890,187",34.92
3/21/2015,3/25/2015,7-Mar,1.6052,1.5296,"10,397,994",34.93
3/21/2015,3/25/2015,14-Mar,1.6104,1.5345,"9,572,400",34.93
3/21/2015,3/25/2015,21-Mar,1.6409,1.5625,"11,056,298",34.89
3/14/2015,3/18/2015,14-Mar,1.6103,1.5345,"9,530,808",34.94
3/14/2015,3/18/2015,7-Mar,1.6052,1.5296,"10,397,994",34.93
3/14/2015,3/18/2015,28-Feb,1.6016,1.5257,"9,890,187",34.92
3/14/2015,3/18/2015,21-Feb,1.6024,1.5282,"10,377,959",34.99
3/14/2015,3/18/2015,14-Feb,1.6047,1.5251,"9,930,522",34.76
3/7/2015,3/11/2015,7-Feb,1.595,1.5179,"10,173,876",34.85
3/7/2015,3/11/2015,14-Feb,1.6047,1.5251,"9,930,522",34.76
3/7/2015,3/11/2015,21-Feb,1.6024,1.5282,"10,377,959",34.99
3/7/2015,3/11/2015,28-Feb,1.6016,1.5257,"9,890,187",34.92
3/7/2015,3/11/2015,7-Mar,1.6052,1.5296,"10,397,994",34.93
2/28/2015,3/4/2015,28-Feb,1.6016,1.5257,"9,890,187",34.92
2/28/2015,3/4/2015,21-Feb,1.6024,1.5282,"10,377,959",34.99
2/28/2015,3/4/2015,14-Feb,1.6047,1.5251,"9,930,522",34.76
2/28/2015,3/4/2015,7-Feb,1.595,1.5179,"10,173,876",34.85
2/28/2015,3/4/2015,31-Jan,1.5861,1.5122,"10,492,928",34.97
2/21/2015,2/25/2015,24-Jan,1.6351,1.5579,"9,927,461",34.93
2/21/2015,2/25/2015,31-Jan,1.5861,1.5122,"10,492,928",34.97
2/21/2015,2/25/2015,7-Feb,1.595,1.5179,"10,173,876",34.85
2/21/2015,2/25/2015,14-Feb,1.6047,1.5251,"9,930,522",34.76
2/21/2015,2/25/2015,21-Feb,1.6024,1.5282,"10,377,959",34.99
2/14/2015,2/19/2015,14-Feb,1.6047,1.5251,"9,930,522",34.76
2/14/2015,2/19/2015,7-Feb,1.595,1.5179,"10,173,876",34.85
2/14/2015,2/19/2015,31-Jan,1.5861,1.5122,"10,492,928",34.97
2/14/2015,2/19/2015,24-Jan,1.6351,1.5579,"9,927,461",34.93
2/14/2015,2/19/2015,17-Jan,1.6417,1.5661,"9,843,246",35.01
2/7/2015,2/11/2015,10-Jan,1.6091,1.5322,"10,718,107",34.89
2/7/2015,2/11/2015,17-Jan,1.6417,1.5661,"9,843,246",35.01
2/7/2015,2/11/2015,24-Jan,1.6351,1.5579,"9,927,461",34.93
2/7/2015,2/11/2015,31-Jan,1.5861,1.5122,"10,492,928",34.97
2/7/2015,2/11/2015,7-Feb,1.595,1.5179,"10,173,876",34.85
1/31/2015,2/4/2015,31-Jan,1.5861,1.5122,"10,492,928",34.97
1/31/2015,2/4/2015,24-Jan,1.6351,1.5579,"9,927,461",34.93
1/31/2015,2/4/2015,17-Jan,1.6417,1.5661,"9,843,246",35.01
1/31/2015,2/4/2015,10-Jan,1.6091,1.5322,"10,718,107",34.89
1/31/2015,2/4/2015,3-Jan,1.6474,1.5672,"9,122,463",34.83
1/24/2015,1/28/2015,27-Dec,1.6648,1.5894,"8,306,632",35.06
1/24/2015,1/28/2015,3-Jan,1.6474,1.5672,"9,122,463",34.83
1/24/2015,1/28/2015,10-Jan,1.6091,1.5322,"10,718,107",34.89
1/24/2015,1/28/2015,17-Jan,1.6417,1.5661,"9,843,246",35.01
1/24/2015,1/28/2015,24-Jan,1.6374,1.5594,"9,549,322",34.9
1/17/2015,1/22/2015,17-Jan,1.6417,1.5661,"9,843,246",35.01
1/17/2015,1/22/2015,10-Jan,1.6091,1.5322,"10,718,107",34.89
1/17/2015,1/22/2015,3-Jan,1.6474,1.5672,"9,122,463",34.83
1/17/2015,1/22/2015,27-Dec,1.6648,1.5894,"8,306,632",35.06
1/17/2015,1/22/2015,20-Dec,1.668,1.59,"9,999,121",34.96
1/10/2015,1/14/2015,13-Dec,1.7866,1.7038,"10,442,002",34.99
1/10/2015,1/14/2015,20-Dec,1.668,1.59,"9,999,121",34.96
1/10/2015,1/14/2015,27-Dec,1.6648,1.5894,"8,306,632",35.06
1/10/2015,1/14/2015,3-Jan,1.6474,1.5672,"9,122,463",34.83
1/10/2015,1/14/2015,10-Jan,1.6091,1.5322,"10,718,107",34.89
1/3/2015,1/7/2015,3-Jan,1.6474,1.5672,"9,122,463",34.83
1/3/2015,1/7/2015,27-Dec,1.6648,1.5894,"8,306,632",35.06
1/3/2015,1/7/2015,20-Dec,1.668,1.59,"9,999,121",34.96
1/3/2015,1/7/2015,13-Dec,1.7866,1.7038,"10,442,002",34.99
1/3/2015,1/7/2015,6-Dec,1.9197,1.8297,"9,961,261",34.95
12/27/2014,12/31/2014,29-Nov,2.0601,1.9682,"8,641,700",35.1
12/27/2014,12/31/2014,6-Dec,1.9197,1.8297,"9,961,261",34.95
12/27/2014,12/31/2014,13-Dec,1.7866,1.7038,"10,442,002",34.99
12/27/2014,12/31/2014,20-Dec,1.668,1.59,"9,999,121",34.96
12/27/2014,12/31/2014,27-Dec,1.6648,1.5894,"8,306,632",35.06
12/20/2014,12/24/2014,20-Dec,1.668,1.59,"9,999,121",34.96
12/20/2014,12/24/2014,13-Dec,1.7866,1.7038,"10,442,002",34.99
12/20/2014,12/24/2014,6-Dec,1.9197,1.8297,"9,961,261",34.95
12/20/2014,12/24/2014,29-Nov,2.0601,1.9682,"8,641,700",35.1
12/20/2014,12/24/2014,22-Nov,2.1915,2.0934,"10,376,595",35.1
12/13/2014,12/17/2014,15-Nov,2.2496,2.1503,"7,235,356",35.14
12/13/2014,12/17/2014,22-Nov,2.1913,2.0932,"10,385,733",35.09
12/13/2014,12/17/2014,29-Nov,2.0601,1.9682,"8,641,700",35.1
12/13/2014,12/17/2014,6-Dec,1.9197,1.8297,"9,961,261",34.95
12/13/2014,12/17/2014,13-Dec,1.7864,1.703,"10,292,666",34.97
12/6/2014,12/10/2014,6-Dec,1.9197,1.8297,"9,961,261",34.95
12/6/2014,12/10/2014,29-Nov,2.0601,1.9682,"8,641,700",35.1
12/6/2014,12/10/2014,22-Nov,2.1913,2.0932,"10,385,733",35.09
12/6/2014,12/10/2014,15-Nov,2.2496,2.1503,"7,235,356",35.14
12/6/2014,12/10/2014,8-Nov,2.1946,2.0912,"9,587,393",34.93
11/29/2014,12/3/2014,1-Nov,2.2334,2.1271,"8,972,580",34.9
11/29/2014,12/3/2014,8-Nov,2.1946,2.0912,"9,587,393",34.93
11/29/2014,12/3/2014,15-Nov,2.2496,2.1503,"7,235,356",35.14
11/29/2014,12/3/2014,22-Nov,2.1913,2.0932,"10,385,733",35.09
11/29/2014,12/3/2014,29-Nov,2.0603,1.9683,"8,631,812",35.1
11/22/2014,11/26/2014,22-Nov,2.191,2.0928,"10,344,088",35.09
11/22/2014,11/26/2014,15-Nov,2.2496,2.1503,"7,235,356",35.14
11/22/2014,11/26/2014,8-Nov,2.1946,2.0912,"9,587,393",34.93
11/22/2014,11/26/2014,1-Nov,2.2334,2.1271,"8,972,580",34.9
11/22/2014,11/26/2014,25-Oct,2.2754,2.1701,"9,883,909",34.99
11/15/2014,11/19/2014,18-Oct,2.3171,2.2149,"9,378,425",35.14
11/15/2014,11/19/2014,25-Oct,2.2754,2.1701,"9,883,909",34.99
11/15/2014,11/19/2014,1-Nov,2.2334,2.1271,"8,972,580",34.9
11/15/2014,11/19/2014,8-Nov,2.1946,2.0912,"9,587,393",34.93
11/15/2014,11/19/2014,15-Nov,2.2496,2.1503,"7,235,356",35.14
11/8/2014,11/13/2014,8-Nov,2.1946,2.0912,"9,587,393",34.93
11/8/2014,11/13/2014,1-Nov,2.2334,2.1271,"8,972,580",34.9
11/8/2014,11/13/2014,25-Oct,2.2754,2.1701,"9,883,909",34.99
11/8/2014,11/13/2014,18-Oct,2.3171,2.2149,"9,378,425",35.14
11/8/2014,11/13/2014,11-Oct,2.4402,2.3301,"8,367,413",35.07
11/1/2014,11/5/2014,4-Oct,2.5982,2.4756,"9,586,457",34.93
11/1/2014,11/5/2014,11-Oct,2.4402,2.3301,"8,367,413",35.07
11/1/2014,11/5/2014,18-Oct,2.3171,2.2149,"9,378,425",35.14
11/1/2014,11/5/2014,25-Oct,2.2754,2.1701,"9,883,909",34.99
11/1/2014,11/5/2014,1-Nov,2.2334,2.1271,"8,972,580",34.9
10/25/2014,10/29/2014,25-Oct,2.2754,2.1701,"9,883,909",34.99
10/25/2014,10/29/2014,18-Oct,2.3171,2.2149,"9,378,425",35.14
10/25/2014,10/29/2014,11-Oct,2.4402,2.33,"8,367,413",35.07
10/25/2014,10/29/2014,4-Oct,2.5981,2.4762,"9,634,610",34.95
10/25/2014,10/29/2014,27-Sep,2.5416,2.4271,"9,391,024",35.07
10/18/2014,10/22/2014,20-Sep,2.4962,2.3769,"9,613,316",34.89
10/18/2014,10/22/2014,27-Sep,2.5416,2.4271,"9,391,024",35.07
